ID,N13_01,N13_02,N13_03,N13_04,N13_05,N13_06,N13_07,N13_08,N13_09,N13_10,N13_11,N13_13,N13_14,N13_15,N13_16,N13_17,N13_18,N14_01,N14_02,N14_03,N14_04,N14_05,N14_06,N14_07,N14_08,N14_09,N14_10,N14_11,N14_12,N14_13,N15_01,N15_02,N15_03,N15_04,N15_05,N15_06,N15_07,N15_08,N15_09,N15_10,N15_11,N15_12,N15_13,N15_14,N15_15,N15_16,N15_17,N15_18,N16_01,N16_02,N16_03,N16_04,N16_05,N16_06,N16_07,N16_08,N16_09,N16_10,N16_11,N16_12,N16_13,N16_14,N16_15,N16_16,N16_17,N16_18,N16_19,N17_01,N17_02,N17_03,N17_04,N17_05,N17_06,N17_07,N17_08
,E,A,O,G,M,O,V,G,G,O,G,G,G,O,G,O,O,G,O,G,G,O,O,O,A,A,G,G,O,GG,G,G,G,G,A,A,G,A,G,O,L,G,G,G,G,A,G,G,G,G,A,O,G,A,G,G,G,A,G,A,G,O,O,G,O,O,G,O,A,G,O,G,G,G,DNET
IDH3B,245.66,503.55,590.73,246.3,275.65,513.19,706.1,387.27,106.75,326.75,188.72,789.09,287.64,353.89,206.79,414.3,472.84,521.32,513.76,393.91,153.26,572.11,605.91,453.34,433.68,440.85,538.29,314.48,488.86,727.32,146.58,311.53,357.65,355.37,776.56,279.73,405.69,475.97,488.95,486.58,418.83,455.79,508.75,307.63,244.61,363.91,448.28,569.44,489.8,660.12,368,732.78,519.76,585.2,393.98,526.1,296.75,432.88,236.52,489.38,338.45,331.44,719.06,294.94,392.67,607.42,307.34,462.95,522.65,716.51,306.98,522.32,593.2,474.41,678.06
IDH3G,302.79,327.71,739.98,181.69,460.31,583.15,477.27,341.24,236.51,580.5,217.21,457.16,264.4,561.56,479.85,463.86,684.3,302.17,884.59,251.95,159.83,589.82,516,607.48,492.73,483.17,450.52,176.26,459.3,330.8,120.95,308.48,481.4,394.5,670.73,613.29,377.83,585.65,347.46,215.55,458.11,484.73,604.16,332.23,402.77,478.78,374.83,335.51,177.09,256.21,438.41,866.14,354.02,468.26,404.33,469.13,211.36,811.56,319.15,546.17,325.11,548.53,521.5,281.7,483.69,751.07,305.11,818.45,479.2,275.72,688.93,585.48,408.09,600.87,614.14
IGF1R,171.03,267.9,352.14,121.24,24.17,776.29,1088.94,259.95,27.71,571.41,199.98,601.42,192.87,445.55,344.11,503.56,581.62,370.04,560.45,571.77,182.05,901.1,438.51,864.61,181.37,822.65,715.82,260.85,465.75,842.4,139.05,81.86,251.46,260.26,926.07,765.09,191.31,375.77,359.71,325.08,172.62,560.72,452.17,92.87,209.7,787.22,124.75,196.61,315.84,352.8,328.48,326.89,222.92,1011.69,232.4,327.43,207.18,632.21,83.15,841.07,243.1,577.8,1073.92,109.25,614.43,460.5,5608.15,712.1,1453.4,151.4,385.17,123.58,226.13,201.16,370.84
KDR (VEGFR2),120.08,52.53,235.37,96,354.06,385.98,377.91,202.09,80.47,247.64,177.88,154.98,204.06,89.79,130.3,117.3,96.54,366.19,100.97,281.15,50.5,69.18,442.72,65.79,116.57,306.58,72.83,134.43,300.61,160.31,13.62,84.51,601.98,437.41,220.64,477.93,442.3,87.05,532.12,257.1,301.95,1049.53,255.11,311.84,485.29,98.21,213.82,694.78,338.87,579.65,180.43,265.64,1322.16,336.18,212.78,11252.49,95.03,98.97,272.82,142.82,245.1,209.78,323.09,719.73,229.37,997.43,358.25,84.2,135.93,619.22,407.94,360.5,214.64,788.32,146.88
KIT,27.75,21.59,58.2,6.87,229.66,326.21,50.47,3325.12,6.83,137.46,60.46,22.67,51.91,218.64,5.22,52.1,90.41,65.31,433.7,38.83,1.33,48.71,207.18,242.21,23.77,36.05,72.83,13.44,130.03,10.96,14.85,4.93,161.92,241.31,629.65,204.95,249.46,190.95,106.51,300.92,30.17,94.27,808.15,50.99,276.37,78.27,35.68,352.32,52.25,15.07,179.67,849.36,103.63,59.81,100.87,73.47,21.83,66.48,152.49,118.05,52.97,120.86,179.72,149.32,300.05,172.18,156.11,56.69,129.32,53.95,57.88,658.71,38.62,24.61,270.5
KLK3,0,0,0,0.23,0,0,0,2.24,0.38,0,0,2.2,0.48,0,0,0,0,10.78,0.48,2.91,1.77,0,0.22,0.21,0,0,0.52,1.72,0.91,1.49,0.41,0,0,0,0,4.43,0.51,0,0.54,0,0.52,0,0.49,0.23,0,0,0,21.08,1.03,0.51,0.25,0,0,0,0,0.71,0,1.85,0,0,0,0.2,0.63,0,43.25,0,0.5,0.6,0,0.66,0,0,0,0,0
KRAS,9.74,29.11,23.87,9.01,56.08,27.29,15.14,8.39,4.88,5.9,10.02,25.16,15.65,19.32,12.21,14.73,10.29,24.56,27.15,19.1,13.92,25.55,28.81,21.21,23.55,19.67,12.22,27.17,30.42,19.24,10.17,5.14,8.3,11.02,39,1.9,39.9,10.94,13.15,9.86,19.86,32.46,22.84,12.68,9.71,16.11,11.49,11.95,19.77,23.54,21.87,19.22,37.68,40.19,9.2,18.73,5.5,13.87,6.1,23.27,13.09,3.61,38.39,16.63,12.78,20.45,22.52,22.55,22.48,25.14,8.43,13.66,17.27,13.95,20.78
L2HGDH,7.65,18.82,36.35,10.67,7.99,35.51,35.94,18.82,6.83,23.54,10.7,15.34,14.29,16.4,8.04,20.48,32.66,19.42,32.71,9.09,6.5,28.88,38.41,42.15,18.92,35.58,22.89,11.44,31.79,14.12,3.44,5.56,28.88,19.42,50.67,25.7,48.89,30.8,23.28,37.65,13.99,18.5,44.77,12.29,14.12,48.28,19.28,26.43,27.51,23.16,42.74,66.43,33.43,47.05,15.33,45.2,10.99,42.09,12.06,40.17,28.35,34.36,87.46,20.3,60.75,45.64,23.52,63.15,50.03,29.99,43.16,22.65,21.92,30.85,46.05
LDHA,5768.65,3257.82,289.54,4658.61,12674.86,563.61,1353.09,1294.44,5649.76,115.34,4770.18,3219.77,4535.3,135.62,2542.46,505.93,369.58,2058.84,180.32,6070.83,2464.13,1394.87,786.83,481.86,1585.95,982.18,479.46,4613.55,893,845.37,5715.03,8666.34,3059.02,1385.93,219.06,2008.33,7083.65,625.95,4507.33,206.68,2138.87,4827.71,2042.38,4900.91,2728.45,508.41,3662,3754.17,2779.74,6016.74,1676.77,242.44,3822.41,1232.39,5013.87,1791.63,5454.37,246.04,1837.63,660.32,8187.76,163.7,461.56,4264.22,578.34,530.72,2052.68,520.84,321.89,3715,376.66,2226.53,6137.48,5101.47,834.04
LDHB,4692.23,6396.55,10984.58,2120.52,3318.74,11654.75,4458.74,4373.3,1801.39,7492.27,3721.62,3321.03,2750.42,10641.19,2647.03,10961.54,6434.56,8364.96,8580.64,3055.96,733.52,12344.55,6103.63,8171.5,3853.29,6919.01,9210.8,3595.6,6302.63,5973.88,1264.85,2215.57,5563.61,7721.37,10257.22,5070.23,3953.13,8696.62,1946.33,9688.06,3369.77,6386.44,5416.67,2302.84,2810.81,10675.69,3520.46,5182.47,3237.08,3819.22,5134.46,7600.85,4758.74,7188.65,1972.37,7051.7,1621.5,8515.45,5163.45,8127.98,4178.78,6537.72,8981.17,4353.99,8032.88,6707.87,7553.76,14271.71,9279.23,3782.74,7316.81,5443.42,2135.75,3413.02,4545.39
