ID,N13_01,N13_02,N13_03,N13_04,N13_05,N13_06,N13_07,N13_08,N13_09,N13_10,N13_11,N13_13,N13_14,N13_15,N13_16,N13_17,N13_18,N14_01,N14_02,N14_03,N14_04,N14_05,N14_06,N14_07,N14_08,N14_09,N14_10,N14_11,N14_12,N14_13,N15_01,N15_02,N15_03,N15_04,N15_05,N15_06,N15_07,N15_08,N15_09,N15_10,N15_11,N15_12,N15_13,N15_14,N15_15,N15_16,N15_17,N15_18,N16_01,N16_02,N16_03,N16_04,N16_05,N16_06,N16_07,N16_08,N16_09,N16_10,N16_11,N16_12,N16_13,N16_14,N16_15,N16_16,N16_17,N16_18,N16_19,N17_01,N17_02,N17_03,N17_04,N17_05,N17_06,N17_07,N17_08
,E,A,O,G,M,O,V,G,G,O,G,G,G,O,G,O,O,G,O,G,G,O,O,O,A,A,G,G,O,GG,G,G,G,G,A,A,G,A,G,O,L,G,G,G,G,A,G,G,G,G,A,O,G,A,G,G,G,A,G,A,G,O,O,G,O,O,G,O,A,G,O,G,G,G,DNET
SDHA,419.18,437.47,1109.86,446.4,1023.26,1476.06,1124.85,578.86,332.21,1113.4,562.01,1650.58,546.69,1313.16,433.78,1063.26,1104.02,554.84,1602.13,870.41,354.25,1181.74,1543.3,1069.32,774.84,1153.86,1416.78,860.52,1295.29,1535.27,455.34,457.81,638.15,708.93,1206.83,788.16,940.19,1013.46,769.58,846.23,1025.57,828.74,1080.52,602.38,633.32,1035.86,545.18,635.95,818.4,577.11,823.92,737.21,881.87,1283.12,711.61,1231.14,281.55,879.43,612.96,728.12,671.46,1153.12,1342.61,428.87,1487.85,837.46,404.57,1282.13,767.76,687.68,945.02,773.57,896.63,907.84,2484.07
SDHB,197.21,270.77,200.94,162,530.67,229.64,544.76,160.26,111.76,188.79,73.32,377.66,209.93,125.23,116.78,206.48,253.75,177.21,210.26,266.22,240.42,309.4,299.38,268.77,323.8,332.6,217.7,184.64,232.07,273.89,103.5,297.72,338.98,261.1,343.32,245.33,220.36,347.46,222.39,182.81,458.08,293.03,280.45,179.06,126.38,291.12,311.29,213.36,291.73,338.63,211.49,232.26,401.17,279.22,289.57,335.98,131.63,263.23,134.82,255.51,259.61,220.18,181.6,201.36,302.74,254.03,203.34,386.09,314.13,282.22,254.98,306.68,218.5,332.89,502.54
SDHC,615.05,815.34,1051.57,510.69,887.02,1319.17,1310.52,513.61,282.77,1038.43,428.22,778.2,680.7,1132.66,649.02,838.11,1250.83,1098.64,1222.94,791.09,325.57,1099.44,1265.5,1511.15,763.55,1269.25,974.47,671.44,1071.22,979.86,293.98,733.82,1683.9,995.27,1349.57,825.35,894.35,1313.1,966.6,1160.23,1384.83,1223.79,1412.41,719.28,599.42,1023.86,1048.7,1002.82,1076.1,1410.17,981.48,1544.84,1411.37,1055.12,986.49,1042.7,466.59,1125.56,639.03,1394.16,1012.91,1717.34,1523.39,820.75,1642.7,1032.07,901.25,1618.98,1150.46,1064.13,1380.25,1199.12,870.49,1284.66,2003.29
SDHD,185.38,606.28,978.04,370.25,827.71,1018.11,1424.28,257.99,235.52,599.38,450.75,709.07,623.37,838.32,573.93,477.57,654.86,663.61,1363.94,695.79,430.99,1002.83,778.63,752.69,451.32,881.41,605.67,400.15,996.75,1211.31,368.05,445.88,890.69,805.64,934.45,507.18,599.17,1128.34,774.36,913.96,1821.7,917.67,1127.22,590.22,562.95,865.7,681.1,552.48,661.95,930.15,435.63,1135.42,838.05,845.48,760.07,542.17,333.03,739.05,477.31,895.08,497.36,730.19,785.92,782.19,862.58,1091.96,577.65,677.51,894.57,882.85,843.58,1024.16,529.81,711.81,1110.35
SLC16A1 (MCT1),339.67,679.94,514.26,1164.37,161.31,1254.23,1849.41,627.23,788.73,935.3,1763.69,1094.1,892.44,247.19,948.81,647.07,441.62,707.75,463.04,703.07,726.88,1064.26,935.73,702.07,1008.09,647.22,1634.05,787.42,703.62,560.98,586.52,1247.44,1831.56,1775.36,1454.57,1418.06,1192.47,1021.63,922.96,243.71,207.77,1412.34,1812.85,758.66,1188.91,1134.11,1270.1,1022.47,833.97,286.63,731.24,630.35,542.08,1045.65,1739.35,1372.07,664.57,1027.87,1198.79,802.91,2351.67,643.08,565.89,692.64,466.79,716.81,903.13,1212.49,1127.73,1367.27,561.29,1450.21,1440.83,1527.95,978.74
SLC16A3 (MCT4),249.25,394.28,59.67,587.48,3666.38,73.06,181.61,328.99,614.51,57.55,428.44,3336.88,541.94,22.92,212.73,62.3,63.88,88.02,38.49,547.03,966.96,206.04,197.21,32.04,190.57,201.55,68.16,183.34,64.79,142.1,638.1,1472.18,734.84,115.67,132.07,158.87,359.14,288.98,487.46,83.68,892.48,494.44,83.64,551.3,394.56,143.09,312.22,208.07,238.76,845.85,72.02,35.03,398.88,137.79,664.1,235.77,828.51,77.23,52.75,88.37,617.91,37.99,82.51,637.13,239.51,168.8,537.37,122.69,62.93,219.14,55.96,402.84,263.58,506.11,158.52
SLC16A7 (MCT2),7.18,40.01,101.9,22.99,51.34,181.17,180.31,42.49,2.66,80.02,32.09,88.28,84.29,67.25,131.38,30.51,168.34,3.59,75.31,95.84,34.55,134.27,233.1,241.36,55.98,55.07,67.64,42.33,187.57,82.85,53.85,32.59,61.28,153.37,83.82,113.22,2468.35,53.1,17.32,398.09,229.29,141.7,15.5,62.14,5.75,40.76,152.03,10.54,217.81,30.66,119.7,217.85,129.87,206.29,132.76,45.36,22.26,137.36,38.18,91.05,14.32,142.08,275.04,184.47,129.15,196.08,188.63,177.72,98.8,33.87,323.72,173.77,87.27,47.08,189.06
SLC1A2 (glutamate transporter),2776.21,315.01,426.69,664.55,7.7,4048.43,9277.36,1058.81,1182.33,6605.12,11210.55,92.46,1549.39,23023.45,5049.83,5968.44,10053.48,7158.6,13809.76,559.58,14.17,2361.49,6913.73,17438.29,2399.25,4195.86,14163.74,4227.71,24892.03,7104.2,554.96,4.17,2364.59,30657.58,3713.34,2435.52,2443.61,1957.49,11090.9,3544.75,83.95,1611.66,11221.05,3259.53,2275.06,15088.54,1227.19,11295.28,239.53,4074.17,18068.85,11329.82,1777.86,7497.79,1386.15,8941.37,441.55,12898.15,24641.58,3978.86,5221.32,20239.06,7476.03,188.05,6463.41,2625.24,1696.93,5824.28,3286.28,6202.19,10860.12,7227.17,3576.88,5524.65,3694.63
SLC25A5 (adenine nucleotide translocase 2),965.19,1339.32,3239.8,428.84,2079.42,4373.95,1723.75,344.36,1042.08,1136.17,855.6,2280.21,907.68,1218.88,2307.6,931.72,2165.59,947.18,1698.93,1468.33,374.29,1526.12,2227.76,2867.44,1592.09,1260.66,863.54,1069.44,3559.76,2773.88,237.87,1857.05,1674.39,1672.76,1204.03,937.91,1927.85,853.15,1793.95,2395.24,1777.62,2706.16,1888.13,961.02,638.77,1985.5,1288.52,2469.55,1956.89,1571.88,1281.8,2719.76,2561.42,1862.31,973.16,2122.6,474.29,1041.51,1450.26,1274.66,1310.84,1024.04,1740.97,1106.8,1216.62,5704.23,1134.29,901.55,2474.15,1769.35,2022.95,1721.62,892.45,1148.37,1670.98
SLC2A1 (GLUT1),226.77,58.14,72.89,185.01,666.19,248.52,268.8,57.58,495.9,469.6,526.83,211.33,85.96,122.09,188.61,124.17,206.52,189.64,87.9,214.41,864.19,216.39,427.21,210.6,252.69,292.38,308.41,303.76,276.82,192.44,1015.01,382.97,453.53,276.33,134.33,614.64,327,115.9,415.47,126.56,89.72,140.77,249.7,366.93,306.97,269.92,136.17,196.84,258.42,91.71,182.18,131.08,224.08,222.28,472.47,427.12,331.11,202.57,180.12,200.62,404.02,263.54,312.03,84.4,272.91,352.19,246.92,223.13,130.58,335.34,347.58,185.37,518.31,306.02,487.19
SLC2A3 (GLUT3),2027.5,4600.13,1904.11,1397.38,5164.55,1725.08,1062.91,1535.66,4605.21,234.57,4082.05,3067.21,2403.49,264.66,1732.23,336.43,621.24,2011.88,519.82,7056.87,8608.28,3165.61,1281.4,2414.41,1023.05,2217.86,630.29,4779.45,2324.92,1326.66,23844.39,13918.93,1687.6,2837.2,701.8,1462.15,4332.68,1978.16,2057.84,1272.72,6477.73,4209.38,1237.93,6881.67,1699.82,1319.91,1871.69,1601.99,3464.46,4322.74,3777.63,1034.5,2026,1999.11,5391.29,1060.47,15210.56,1186.03,2195.61,1410.79,1746.36,639.65,1345.17,8822.59,715.84,2733.55,6776.22,1274.14,952.47,3529.74,925.88,2428.97,8056.52,4958.89,629.71
SLC5A1 (sodium glucose cotransporter),1.44,0,2.02,0.45,3.42,0,0,0.28,0,0.46,0.43,0,0.24,0.38,0.36,1.29,0.24,0,0.95,0.55,0,0,0,1.28,0,2.27,0,0,1.36,0.37,0,0,0,0,0,0,0.51,0,1.08,1.67,0,0.47,0,0,1.05,0.43,0,0,0.78,0.51,1,0,1.16,0.39,3.07,0,0,0.46,0,1.34,0,0.2,0,0.9,0,0,0.5,1.2,0,1.33,0.82,1.02,0,0.53,0
SLC7A1 (glutamine transporter),1264.43,610.4,834.09,558.41,285.81,1624.85,1242.11,384.61,432.51,1729.36,918.72,891.35,757.91,982.77,327.91,1710.06,1498.72,1492.49,1058.18,945.12,163.01,1442.07,1670.27,1693.55,1232.79,1752.32,780.87,723.92,1544.28,470.15,430.14,132.08,1672.02,1123.74,2274.62,2177.16,1888.57,1399.7,1225.56,1259.75,302.48,1206.46,1439.16,876.8,1854.61,2057.26,648.22,1600.85,546.07,447.83,948.3,2202.86,1156.35,1230.61,778.77,830.61,579.38,2241.19,1241,1647.33,1083.49,1639.43,2611.62,382.14,1479.4,3469.8,1423.99,1761.6,2377.55,1144.48,2213.07,1333.8,1076.42,1028.27,963.47
SLC9A1 (Na+/H+ proton antiporter),166.49,392.41,149.63,220.62,528.41,279.64,478.85,135.84,144.04,82.55,318.56,781.06,252.87,117.02,318.37,251.78,95.34,178.09,132.09,587.04,208.19,109.27,317.52,193.08,251.54,195.59,180.9,317.2,382.16,601.1,196.4,380.32,237.2,411.5,143.17,71.79,264,108.24,434.95,177.81,461.2,395.13,332.11,296.14,456.27,133.99,142,468.38,442.34,725.78,363.86,115.31,895.45,364.01,315.19,307.35,194.34,95.5,358.48,37.94,406.88,74.37,138.47,337.14,72.18,259.28,218.15,85.4,70.17,399.76,207.12,249.55,344.07,331.7,205.06
SOD1,172.71,426.06,663.16,293.4,290.73,935.01,1335.06,280.63,162.45,1023.58,224.84,466.04,271.92,1195.96,288.86,708.3,1341.18,334.37,1415.5,525.76,414.16,1018.35,1498.54,933.39,472.41,512.1,757.8,602.36,784.71,636.58,356.49,342.42,376.4,340.59,1030.95,523.8,496.88,315.53,418.98,354.58,464.08,616.7,901.14,335.74,350.11,757.08,363.75,304.31,779.14,510.68,835.38,459.83,654.56,894.24,566.29,751.47,268.4,573.71,378.83,684.42,482.19,816.48,842.51,299.98,588.18,634.7,208.4,1216.4,446.18,592.33,648.8,478.62,394.48,475.35,1365.58
SOD2,7295.26,32944.26,1370.02,28260.16,1136.2,5372.77,9631.85,16408.98,23429.31,4885.63,21167.45,12868.73,44968.95,4889.6,15148.78,6612.5,3483.48,9154.06,4065.69,20714.87,46301.93,2624.43,14776.04,2260.84,33509.34,8423.22,2865.61,11194.66,4860.06,4857.49,29153.41,7744.26,12272.54,10375.21,2939.73,3812.14,4995.11,13158.65,22200.48,4732.32,24241.11,1498.3,16035.73,37752.79,35718.21,2258.02,11719.09,21300.91,17684.45,17682.34,15794.59,2031.64,19986.35,11533.31,46628.99,8697.57,25906.34,2084.87,23865.33,6138.55,10198.12,10717.14,5383.2,27693.68,746.26,9475.99,24592.87,3913.23,4258.88,23188.81,3523.29,25067.72,12132.55,9519.21,4690.82
TALDO1,541.56,1012.34,2569.29,868.04,1143.47,1894.44,1474.1,1291.08,305.74,1441.82,485.39,1419.46,1115.07,868.94,932.97,1443.88,1908.88,916.38,1254.42,1073.7,720.68,1026.76,2150.43,1041.25,1218.99,1249.02,979.39,676.73,1781.24,801.35,345.97,1109.68,2288.26,808,918.59,749.58,1278.17,1774.45,1248.56,1536.93,2897.3,1556.38,1647.04,663.97,925.87,909.5,1384.82,1026.82,1826.26,1357.29,1753.06,2051.59,2832.46,943.59,1580.53,2905.02,795.34,1572.44,694.86,2073.78,737.31,1811.82,2158.27,1404.76,3709.23,1901.68,1334.68,1659.65,2266.79,1006.03,1658.63,1819.94,852.65,1151.58,5223.09
TP53,47.84,62.44,116.03,46.42,42.79,85.66,33.46,11.18,36.82,69.71,62.69,98.18,61.91,60.3,25.56,58.43,51.87,109.58,120.45,66.92,11.52,30.6,46.53,59.59,52.15,64.72,61.68,24.03,64.11,57.21,46.83,18.95,80.83,17.99,180.55,18.17,27.55,38.8,94.19,50.21,83.42,175.43,77.99,49.17,73.21,84.55,96.3,72.18,82.26,76.64,50.94,86.77,149.58,122.19,23.3,61.89,32.75,154.24,38.69,45.08,243.67,56.99,86.62,46.12,64.72,127.21,144.1,70.37,127.12,139.45,161.31,53.94,126.78,237.81,31.27
TP53I3,24.04,53,45.53,43.49,516.86,72.08,100.19,36.2,54.09,15.36,43.03,136.6,110.72,39.16,82.7,25.78,17.89,63.51,19.96,38.74,14.62,37.61,65.92,42.08,22.05,19.59,8.29,70.36,56.18,44.67,8.87,17.24,144.62,41.24,70,42.98,125.75,109,110.02,305.84,59.29,205.88,139,100.84,52.95,45.2,54.21,115.03,225.7,95.42,90.34,248.36,177.12,65.04,40.78,65.67,22.05,43.13,43.84,53,109.24,52.34,119.18,99.96,24.16,74.81,131.34,83.6,165.35,138.45,167.34,80.57,149.63,104.06,31.27
TUBB,12519.66,12498.42,6989.41,3778.51,7974.87,5751.76,1922.56,8085.34,3522.56,2995.48,7601.24,10431.89,6296.85,2878.61,4170.63,5933.1,2954.63,9279.29,5292.67,4734.94,3352.57,4872.72,3324.8,2997.99,8949.25,4275.41,5329.12,5118.74,1991.24,1923.49,2147.11,9531.1,4792.85,1451,6681.89,4831.65,4993.39,6067.36,3858.28,9685.55,3855.76,5489.79,7329.59,2555.62,4377.35,4095.18,6797.02,4879.19,8316.14,5586.08,2920.3,4557.68,4085.55,2664.7,3218.94,3977.66,3163.38,5185.29,3510.72,4392.53,8058.19,1867.65,3210.38,5505.17,2728.01,3746.78,5337.47,3523.65,3661.82,4964.99,2359.29,3740.32,3686.11,5054.05,1811.5
TXN,1057.68,1157.54,4405.17,3131.2,6151.27,1797.62,2182.96,3220.02,1409.43,742.16,1299.9,1200.13,2783.52,760.74,3034.93,1024.74,1268.74,1586.75,1001.4,2600.59,1049.05,1025.17,2607.99,1560.63,1385.53,758.87,801.69,1141.71,2123,1826.9,1574.79,2694.61,3424.15,1710.46,2378.6,838.28,2570.72,1787.81,2632.64,2787.82,8776.62,2887.53,1991.87,1499.26,1532.65,1566.78,2037.16,2342.3,2711.37,4838.1,2528.63,4562.71,3746.27,1639.11,3897.43,1232.37,2790.61,1943.19,1501.42,781.04,2235.32,1738.39,1114.91,2853.93,1453.55,2490.2,1873.8,1048.5,1243.42,2078.46,1164.1,1765.54,1142.47,2580.47,1733.03
VEGF121_FASTA,807.31,119.65,559.98,1394.9,979.81,51.2,35.32,72.67,1270.58,13.76,758.69,619.69,321.45,39.45,1213.91,10.74,14.41,257.9,68.9,1251.19,664.42,173.5,26.59,29.9,49.85,144.77,12.96,866.65,101.94,71.52,2308.54,423.52,536.21,59.98,77.02,209.39,774.15,48.5,872.88,179.9,102.31,586.72,76.26,1182.49,210.48,26.02,221.52,508.71,540.63,372.98,40.15,23.2,31.89,47.38,1427.23,99.22,2416.41,94.81,52.75,46.86,1404.47,26.27,47.42,151.11,20.88,210.67,671.72,18.04,53.49,514.64,71.33,71.69,2876.07,1100.76,14.54
VEGF121b_FASTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGF165_FASTA,1734.23,67.3,990.06,1500.25,496.32,35.45,49.73,167.71,843.57,10.32,2130.49,187.12,435.74,18.78,763.53,16.11,14.41,170.65,30.89,1297.11,769.62,104.53,24.37,40.05,13.42,70.97,12.96,1242.06,138.19,29.72,1720.06,211.29,970.72,54.62,43.04,321.28,3917.93,38.29,1858.09,275.09,64.27,584.96,90.41,1937.06,527.52,13.01,218.02,675.42,524.47,540.31,77.79,51.04,43.48,77.97,3418.61,68.51,4083.18,63.59,61.55,70.29,3524.79,59.62,52.16,200.92,49.21,196.49,1386.59,30.07,29.89,684.8,105.62,32.43,7692.11,2450.29,29.09
VEGF165b_FASTA,2.39,0,0,0,0,0,0,0,5.69,0,4.25,0,2.38,0,0,0,0,2.57,0,0,0,0,0,0,0,2.84,0,4.29,0,0,0,1.89,0,0,0,0,5.1,0,0,2.09,1.31,0,0,3.41,0,0,2.33,2.29,0,2.55,0,0,0,0,3.07,0,2.14,0,0,0,0,0,0,4.48,0,0,0,0,1.57,0,0,0,8.84,0,0
VEGF189_FASTA,612.36,14.96,432.38,1770.1,2004.55,19.69,44.61,95.04,1827.58,2.29,1754.34,346.72,772.67,11.27,1376.79,0,0,121.89,14.25,1582.18,1071.94,21.55,15.51,8.54,19.17,25.55,0,1494.47,54.37,14.86,1335.82,89.06,471.49,37.49,15.86,173.93,1039.43,17.87,744.32,97.27,94.44,234.22,54.12,1748.13,545.17,4.34,142.24,458.3,328.52,375.54,27.6,13.92,34.79,67.12,1322.99,82.68,1766.83,20.81,20.1,4.46,1257.01,28.29,0,235.06,26.84,97.23,521.61,6.01,3.15,337,38.41,17.07,3630.83,1797.59,14.54
VEGF_full_length_206_FASTA,576.82,17.36,204.71,586.71,265.73,8.44,7.97,68.28,962.59,2.95,725.9,89.16,101.03,5.1,511.12,1.84,3.26,39.59,10.86,418.54,475.85,25.4,3.17,5.19,7.12,21.09,5.18,304.61,23.62,7.7,898.75,139.41,167.73,12.24,9.71,56.98,492.11,5.11,214.6,61.26,13.87,123.13,17.57,312,149.79,2.48,62.46,192.65,197.33,127.37,8.25,10.94,4.56,12.13,511.15,24.64,1004.27,12.88,18.3,19.45,543.83,7.51,6.32,96.1,6.39,44.37,253.93,5.58,5.84,113.6,18.42,5.36,342.85,551.24,0
VHL1,257.59,174.33,177.06,138.45,61.64,158.28,301.95,241.78,23.84,156.78,85.54,162.49,176.95,71.85,56.8,90.23,155.04,208.02,103.5,194.93,88.59,193.97,205.38,255.51,150.5,127.74,97.84,112.26,197.65,204.1,53.25,117.6,373.1,251.16,334.14,211.6,405.73,305.54,370.3,327.12,504.84,309.9,308.44,110.11,127.47,256.78,149.23,218.55,326.26,213.47,199.81,237.51,386.09,236.39,196.8,301.35,115.98,388.77,78.19,243.94,345.03,118.48,413.35,118.09,398.37,311.61,128.84,398.64,332.55,360.04,282.05,399,221.86,459.26,296.31
VHL2,97.48,110.77,105.11,50.14,41.72,160,151.03,183.78,29.89,94.01,73.32,126.03,127.39,68.09,78.29,86.47,117.07,128.31,125.92,126.39,59.8,149.79,115.78,134.56,38.35,107.16,92,85.09,86.65,149.07,39.71,49.27,66.7,93.18,99.67,87.52,210.44,146.15,133.98,276.13,202,156.34,134.08,52.35,104.59,149.6,80.44,108.27,118.99,99.63,123.59,103.82,171.76,106.1,108.08,131.7,23.01,162.45,48.36,188.01,213.32,111.66,249.75,85.63,166.28,114.79,75.68,173.66,159.69,162.69,114.54,159.6,64.13,192.6,90.89
