ROI,ADV_1001,ADV_1002,ADV_1003,ADV_1004,ADV_1005,ADV_1006,ADV_1007,ADV_1008,ADV_1009,ADV_1010,ADV_1011,ADV_1012,ADV_1013,ADV_1014,ADV_1015,ADV_1016,ADV_1017,ADV_1018,ADV_1019,ADV_1020,ADV_1021,ADV_1022,ADV_1023,ADV_1024,ADV_2002,ADV_2003,ADV_2008,ADV_2017,ADV_2020
GLUD1,741.16,562.36,529.88,1156.48,577.22,673.76,982.33,896.07,1132.88,1264.6,1018.74,569.46,891.98,360.85,1354.86,589.47,553.13,725.59,1236.09,733.7,1059.65,1252.31,459.9,719.86,1953.93,1760.68,1361.86,1400.11,1910.71
GLUD2,31.91,15.4,22.17,55.83,22.64,9.57,37.28,38.89,68.23,68.27,41.95,31.58,52.92,18.09,125.99,27.01,34.31,81.39,90.99,34.19,49.76,66.24,18.24,57.79,150.85,192.07,129.18,210.24,137.74
GLUL,713.94,455.96,345.67,677.57,743.57,785.06,2190.15,121.2,1239.34,583.08,363.86,433.92,808.3,1139.91,1907.63,481.42,834.82,605.8,1163.97,185.43,1507.5,2004.44,674.32,1287.81,1034.49,1302.73,1549.81,3772.58,1530.46
GOT1,58.82,30.8,34.11,86.28,108.97,64.62,141.24,31.11,59.98,111.64,195.47,109.88,91.82,106.64,145.51,90.32,61.97,127.24,201.95,73.03,204.38,221.92,71.72,36.5,115.31,113.38,125.54,106.24,71.8
GPI_1,1006.77,1136.63,789.13,845.79,1020.21,545.11,1014.15,548.34,785.37,793.54,1223.24,1392.88,616.06,1122.06,700.05,926.55,771.31,770.29,797.8,1029.97,1208.71,495.23,856.21,288.78,1266.65,1385.43,1156.63,1027.16,681.09
GPI_2,1651.37,1826.32,1382.97,1377.02,1329.21,909.52,1717.53,824.23,1316.44,1892.69,1993.09,2231.55,1435.36,1373.81,1193.38,1433.7,1114.37,1557.02,1503.5,1459.8,1614.65,979.11,1096.34,387.12,2100.86,2418.72,1775.79,1752.47,883.91
GPT,3.75,0.93,1.14,0,4.21,0,0,0,2.25,1.51,1.75,5.26,0,0.48,33.72,32.66,0,0,0,0,0.44,12.38,0.49,3.84,1.53,5.34,0.36,2.24,0.65
GSS,479.61,186.68,206.1,361.08,326.12,472.11,419.48,397.96,347.89,644.56,765.58,1016.53,505.24,321.57,334.5,867.88,570.03,511.81,335.1,755.45,540.93,574.77,361.07,213.06,460.23,386.37,362.98,440.61,234.07
HIF1A,1911.56,1581.62,3749.52,1906.92,1332.11,721.63,351.59,2140.2,1918.62,2049.46,1371.81,1731.07,1895.22,2495.48,877.51,1272.09,1450.69,1623.12,4062.6,2401.8,1110.07,1056.69,2811.14,2738.25,1532.05,1633.52,2007.59,1717.98,2150.47
HK1,1534.25,1287.37,1375.01,1400.82,1522.15,1685.59,1325.73,705.84,2673.62,2354.96,1915.12,1256.36,1053.91,1628.34,3243.85,1053.55,1368.75,2087.36,1263.09,1577.98,2351.44,3114.98,1520.18,605.57,3232.6,2659.48,2197,2163.07,1224.27
HK2,51.62,66.74,15.92,39.15,28.43,40.69,44.86,62.22,32.99,61.85,69.04,87.51,19,75.69,116.68,56.45,76.31,325.54,39.95,154.61,57.54,19.81,103.27,360.17,43.47,68.47,130.64,84.99,22.25
HK3,22.21,16.33,19.05,11.96,4.21,11.37,0,1.3,3,18.86,7.57,3.95,15.38,52.84,26.62,3.63,3.59,27.51,2.96,7.25,7.78,6.81,18.24,105.65,1.53,2.67,3.28,10.34,8.93
HPV16,0,0,0,0.33,7351.36,1523.93,6923.21,7193.3,2.04,0.51,6335.09,1.79,3450.8,4708.07,2.42,8889.31,6467.41,1.04,1.01,0,2787.55,5.35,3928.6,8551.45,0.58,1.21,0,0.76,2.22
IDH1,1650.55,620.12,716.06,1339.94,709.73,429.11,964.05,311.92,966.38,2776.67,854.29,1567.33,1113.36,1538.85,1651.43,856.43,1022.22,553.89,1468.76,556.26,883.43,1088.62,612.02,756.93,1067.75,1052.79,1100.64,1351.24,792.33
IDH2,756.4,304.3,336.47,774.99,1398.01,1264.73,433.15,163.22,610.37,753.11,775.3,1500.73,372.75,557.2,668.88,868.71,867.76,688.02,638.02,670.88,447.02,1110.18,503.9,269.15,833.64,544.25,564.53,484.3,220.84
IDH3A,282.28,132.05,279.62,486.62,330.57,176.52,103.6,405.98,426.17,420.01,298.2,323.74,274.07,164.46,260.13,206,137.35,266.25,193.34,204.24,317.17,155.46,231,152.07,222.44,476.04,400.2,319.35,329.82
IDH3B,438.47,237.55,286.12,472.92,773.97,599.56,419.94,555.14,543.38,641.16,841.18,856.32,628.05,233.03,991.08,608.32,349.55,316.08,552.76,458.14,735.64,749.5,467.29,388.02,666.69,675.15,532.01,610.31,807.05
IDH3G,389.25,320.27,404.02,432.17,530.81,458.25,323.93,256.02,673.22,713.3,566.85,584.48,629.67,247.15,353.06,1048.9,339.63,464.72,732.49,574.72,557.87,614.26,390.54,240.98,449.68,422.76,531.66,438.93,663.14
IGF1R,130.15,547.66,1094.72,387.55,253.74,330.9,506.77,436.85,304.77,164.06,318.41,237.19,232.04,112.11,437.42,246.76,520.87,374.26,882.13,613.79,492.72,877.48,568.09,645.42,1341.83,780.53,595.51,842.08,1433.97
KDR (VEGFR2),210.55,104.54,480.99,949.11,433.51,182.5,118.81,334.77,1720.68,601.56,281.41,343.78,269.58,416.55,736.43,155.84,248.4,192.57,1870.78,206.15,246.81,267.42,168.33,859.12,521.08,926.14,760.72,1630.76,2070.55
