ROI,N13_02,N13_04,N13_08,N13_09,N13_11,N13_13,N13_16,N14_01,N14_03,N14_04,N14_08,N14_11,N15_01,N15_02,N15_03,N15_04,N15_07,N15_09,N15_12,N15_13,N15_14,N15_15,N15_17,N15_18,N16_01,N16_02,N16_05,N16_07,N16_09,N16_11,N16_13,N16_16,N16_19,N17_03,N17_05,N17_06,N17_07
,A,G,G,G,G,G,G,G,G,G,A,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
HIF1A,6150.52,3159.37,2048.01,5201.11,2332.39,2585.77,2173.52,7362.87,2630.05,1918.41,3782.74,3561.27,613.34,2954.6,2531.27,1554.94,2576.5,2917.46,1657.1,4780.98,2178.33,1798.92,1169.6,3365.53,2317.49,2758.78,2697.37,1359.78,2232.35,1713.03,3257.92,2528.8,2067.19,3159.53,1764.97,1575.28,2685.42
HK1,977.2,1083.25,831.84,2890.73,1449.16,956.07,2201.42,1351.6,1343.76,1448.44,1140.38,1438.7,633.35,1463.84,969.4,1131.67,1179.21,1224.74,1977.98,938.29,1100.55,718,979.8,1225.27,3116.8,2398.31,1683.36,1281.6,1122.59,1529.39,880.77,985.46,833.08,923.69,1127.6,1264.53,1270.89
HK2,18.32,77.97,27.95,62.25,42.08,59.88,42.29,17.96,61.83,542.61,36.81,199.36,449.95,92.66,124.94,19.28,250.48,80.12,33.26,68.39,41.88,37.13,34.74,38.5,71.14,34.74,25.51,71.74,173.79,6.53,74.45,27.76,45.03,12.95,19.12,27.12,21.93
HK3,16.45,18.48,8.94,6.83,3.19,18.49,15.84,3.08,10.55,111.62,8.44,4,10.73,25.01,5.02,2.14,4.08,11.37,7.03,2.46,10.47,9.41,13.52,6.42,11.9,34.23,8.12,19.62,14.13,0,0.57,34.92,12.01,1.33,6.83,5.31,5.62
IDH1,624.42,1293.09,568.91,422.33,464.5,1373.28,859.3,1197.12,879.1,277.16,592.43,359.98,249.41,581.75,743.75,432.32,1098.91,1521.02,2185.09,883,846.02,1072.31,1081.93,1155.98,725.31,1793.46,1963.14,890.57,744.14,669.13,2607.49,1273.08,1094.96,2130.28,931.87,768.98,1923.41
IDH2,550.83,452.74,227.68,154.24,400.02,422.17,209.67,409.07,295.52,227.51,413.08,170.57,87.12,218.35,861.34,524.23,485.92,582.05,717.13,1385.6,332.22,688.62,551.77,696.93,1206.49,757.92,953.85,481.78,221.04,533.49,637.49,602.91,437.69,478.57,1049.77,305.28,510.8
IDH3A,96.28,88.91,73.18,62.8,81.72,180.01,165.08,175.43,175.99,61.21,187.72,125.33,39.57,83.38,221.88,329.88,138.67,150.09,180.77,221.86,119.81,103.04,118.49,137.59,175.08,191.83,257.07,173.79,89.31,159.18,118.7,110.2,108.71,247.66,209.49,170.6,210.47
IDH3B,503.55,246.3,387.27,106.75,188.72,789.09,206.79,521.32,393.91,153.26,433.68,314.48,146.58,311.53,357.65,355.37,405.69,488.95,455.79,508.75,307.63,244.61,448.28,569.44,489.8,660.12,519.76,393.98,296.75,236.52,338.45,294.94,307.34,716.51,522.32,593.2,474.41
IDH3G,327.71,181.69,341.24,236.51,217.21,457.16,479.85,302.17,251.95,159.83,492.73,176.26,120.95,308.48,481.4,394.5,377.83,347.46,484.73,604.16,332.23,402.77,374.83,335.51,177.09,256.21,354.02,404.33,211.36,319.15,325.11,281.7,305.11,275.72,585.48,408.09,600.87
L2HGDH,18.82,10.67,18.82,6.83,10.7,15.34,8.04,19.42,9.09,6.5,18.92,11.44,3.44,5.56,28.88,19.42,48.89,23.28,18.5,44.77,12.29,14.12,19.28,26.43,27.51,23.16,33.43,15.33,10.99,12.06,28.35,20.3,23.52,29.99,22.65,21.92,30.85
LDHA,3257.82,4658.61,1294.44,5649.76,4770.18,3219.77,2542.46,2058.84,6070.83,2464.13,1585.95,4613.55,5715.03,8666.34,3059.02,1385.93,7083.65,4507.33,4827.71,2042.38,4900.91,2728.45,3662,3754.17,2779.74,6016.74,3822.41,5013.87,5454.37,1837.63,8187.76,4264.22,2052.68,3715,2226.53,6137.48,5101.47
LDHB,6396.55,2120.52,4373.3,1801.39,3721.62,3321.03,2647.03,8364.96,3055.96,733.52,3853.29,3595.6,1264.85,2215.57,5563.61,7721.37,3953.13,1946.33,6386.44,5416.67,2302.84,2810.81,3520.46,5182.47,3237.08,3819.22,4758.74,1972.37,1621.5,5163.45,4178.78,4353.99,7553.76,3782.74,5443.42,2135.75,3413.02
MAPK8,229.76,74.14,255.76,60.54,58.44,154.76,62.27,90.07,141.85,31.89,140.34,59.49,50.34,72.58,133.66,169.65,313.49,138.85,176.37,330.88,57.36,105.63,83.24,181.49,109.68,99.63,213.93,99.34,59.93,105.01,125.41,146.63,93.06,120.52,303.15,57.79,112.88
MDH1,492.11,250.92,250.06,153.06,282.49,256.29,176.51,360.35,356.86,160.31,695.96,397.35,186.86,397.28,517.01,839.95,417.54,303.45,436.01,425.69,340.38,190.27,307.88,348.04,589.68,397.54,634.29,358.13,221.19,392.76,392.83,334.08,322.34,492.03,373.56,332.7,393.22
MDH2,449.34,399.65,559.73,300.52,346.19,943.85,742.29,1002.73,803.18,229.45,441.16,761.82,243.75,631.02,593.26,674.97,1054.22,1027.3,1411.05,917.74,482.67,347.76,737.41,914.88,801.12,733.06,879.51,784.14,436.73,551.79,1081.06,547.69,896.12,874.05,884.36,794.42,1073.61
MYC,1348.75,621.58,1250.21,372.07,144.04,1307.14,639.6,540.04,1169.96,440.49,1223.21,1259.61,438.97,1953.48,289.53,108.53,867.11,465.99,586.85,263.37,169.2,196.25,701.98,377.08,351.37,799.47,567.21,790.86,564.57,123.09,400.55,2361.42,581.38,371.87,570.88,276.65,1137.76
NAMPT,3717.16,11225.69,1233.22,5437.01,3904.6,1380.06,17743.98,3362.2,12025.45,10213.08,2340.58,2198.37,30575.05,2801.11,1873.29,535.09,917.25,4147.89,682.51,1809.9,9070.25,6235.03,473.81,1720.23,1372.8,3274.05,2367.48,4565.92,15445.99,652.4,524.28,6563.11,4195.42,3764.14,2406.78,1395.43,1621.58
NAPRT1,10.75,4.51,1.4,0.95,3.72,31.37,0.9,2.57,10.68,22.7,14.38,9.3,2.06,5.21,5.94,9.64,14.67,8.12,8.78,20.91,0.57,1.31,6.41,13.18,13.58,5.75,3.99,3.83,5.35,7.54,7.52,15.11,3.75,3.32,9.39,7.37,11.03
NOX1,0.19,0,0,0,0,0,0,0,0,0.89,0.77,0,0,0,0,1.29,1.02,0.54,0,0.49,0,0,0,0,0.26,0,0,0.61,0,0,0,0,0,0.66,0,0,0
NOX3,0,0,0.28,0,1.7,0,0,0,0.18,0,0,0.57,0,0,0.53,0,1.02,0,0,0.49,0,0,0,0,0,0,0.58,0,0,0,0.57,0.22,0.25,0,1.37,0,0.53
