"rownames(orderBenodigdeData1)","ccRCC_A_normal_tissue","ccRCC_A_Tumor1_tissue","ccRCC_A_Tumor2_tissue","ccRCC_A_Tumor3_tissue","ccRCC_B_normal_tissue","ccRCC_B_Tumor1_tissue","ccRCC_B_Tumor2_tissue","ccRCC_B_Tumor3_tissue","ccRCC_C_normal_tissue","ccRCC_C_Tumor1_tissue","ccRCC_C_Tumor2_tissue","ccRCC_C_Tumor3_tissue","ccRCC_D_normal_tissue","ccRCC_D_Tumor1_tissue","ccRCC_D_Tumor2_tissue","ccRCC_D_Tumor3_tissue","ccRCC_E_normal_tissue","ccRCC_E_Tumor1_tissue","ccRCC_E_Tumor2_tissue","ccRCC_E_Tumor3_tissue"
"RET",4.86,2,0.68,0.38,16.24,2.46,2.06,0.37,7.1,1.21,1.43,0.26,6.28,0.89,3.64,5.08,27.9,0.41,1.84,0.44
"RPIA",134.62,106.96,48.83,90.39,89.72,58.32,175.65,75.43,105.28,171.6,114.03,57.05,71.24,123.78,104.03,152.18,377.76,105.32,164.98,39
"SDHA",2197.87,2195.06,1768.71,2945.27,2244.7,959.63,1517.48,1953.08,2219.02,1447.43,1051.43,1129.55,2045.26,1331.94,1333.65,734.35,1224.46,800.26,872.05,629.37
"SDHB",653.87,327.01,218.14,417.66,836.21,308.68,335.35,552.4,865.57,252.71,179.92,298.52,735.02,226.2,296.04,179.59,281.81,218.11,318.65,214.19
"SDHC",2615.8,1463.63,974.01,1842.46,3014.98,1471.35,1225.42,2319,3185.14,2679.79,2575.08,2078.34,3316.81,950.58,1129.4,708.62,1743.94,1616.99,1557.47,999.3
"SDHD",2107.42,1224.62,731.06,1297.93,2546.9,885.25,962.19,1635.33,2663.29,1504.63,1078.69,996.81,2298.8,669.41,538.69,518.69,833.52,459.32,693.72,494.99
"SLC16A1 (MCT1)",225.11,523.51,354.68,480.05,270.5,929.84,957.23,240.7,303.45,543.56,542.3,394.51,178.89,551.65,502.14,267.36,151.68,431.75,435.78,442.26
"SLC16A3 (MCT4)",146.32,3464.4,2503.09,2980.97,86.49,2046.72,2041.36,1352.11,71.92,1222.41,1614.08,2257.06,89.76,1891.81,1494.23,526.38,98.73,1152.99,460.77,655.86
"SLC16A7 (MCT2)",334.13,85.21,61.71,51.65,310.68,107.6,251.74,257.15,212.9,219.72,105.25,79.64,256.89,139.8,175.32,159.87,233.24,64.51,113.17,46.97
"SLC1A2 (glutamate transporter)",6.18,2,6.1,2.28,4.58,2.58,1.45,2.03,3.39,6.36,1.69,2.55,1.57,4.9,10.91,4.95,5.72,23.99,4.41,1.77
"SLC25A5 (adenine nucleotide translocase 2)",3855.78,1034.68,744.62,1356.61,5051.84,827.16,827.79,967.82,4281.51,1224.22,1538.68,1210.6,7203.82,1571.24,1429.12,770.28,2837.53,1118.52,1708.95,1112.74
"SLC2A1 (GLUT1)",84.31,370.48,112.57,353.77,40.95,565.72,712.27,281.19,43.78,179.47,275.79,293.17,44.72,770.48,395.38,108.92,69.4,681.54,139.63,107.24
"SLC2A3 (GLUT3)",2087.78,1895.4,1252.56,1608.03,706.39,2246.44,4308.09,3190.64,1472.69,2582.67,1091.01,2128.66,584.86,15117.08,9392.21,3876.05,4905.93,1591.35,2185.51,1387.05
"SLC5A1 (sodium glucose cotransporter)",65.77,1226.97,1162.37,1138.23,125.21,131.31,162.95,262.71,53.68,36.47,29.18,252.97,33.58,4.23,2.18,0.52,6.44,3.31,23.88,14.62
