ROI,N13_02,N13_03,N13_04,N13_06,N13_08,N13_09,N13_10,N13_11,N13_13,N13_15,N13_16,N13_17,N13_18,N14_01,N14_02,N14_03,N14_04,N14_05,N14_06,N14_07,N14_08,N14_09,N14_10,N14_11,N14_12,N15_01,N15_02,N15_03,N15_04,N15_05,N15_06,N15_07,N15_09,N15_10,N15_12,N15_13,N15_14,N15_15,N15_16,N15_17,N15_18,N16_01,N16_02,N16_03,N16_04,N16_05,N16_06,N16_07,N16_09,N16_10,N16_11,N16_12,N16_13,N16_14,N16_15,N16_16,N16_17,N16_18,N16_19,N17_01,N17_02,N17_03,N17_04,N17_05,N17_06,N17_07
,A,O,G,O,G,G,O,G,G,O,G,O,O,G,O,G,G,O,O,O,A,A,G,G,O,G,G,G,G,A,A,G,G,O,G,G,G,G,A,G,G,G,G,A,O,G,A,G,G,A,G,A,G,O,O,G,O,O,G,O,A,G,O,G,G,G
G6PC,0,0,0,0.59,0,0.19,0,0,0,0.75,0.36,0,0,0,1.43,1.09,2.66,0.22,0.44,1.5,0,0,0.52,0,3.17,0,0,0,0.43,0.23,0.44,0.51,0,0.21,0,0,0,0,1.73,0,1.37,1.03,0.26,0.5,10.21,0,1.38,0.31,0.43,0.92,0,2.23,0.86,0.4,5.69,0.9,1.79,1.89,0.25,5.41,1.89,1,1.1,0,0,0.27
G6PD,269.58,240.52,235.49,267.43,318.37,161.12,259.79,130.91,477.48,189.34,402.6,252.64,359.73,334.12,227.84,366.81,182.05,210.78,703.74,309.06,367.73,323.89,203.71,273.15,251.45,86.85,425.79,379.57,325.38,145.66,230.88,279.31,386.78,214.21,253.19,337.28,176.18,193.23,254.75,163.92,268.79,364.99,359.95,311.42,319.23,442.94,260.57,283.91,155.39,250.43,113.3,266,167.22,303.76,302.86,289.24,356.43,281.43,300.46,274.55,213.02,251.67,338.26,400.79,242.06,278.2
GAD1,114.41,222.89,9.92,1059.86,101.74,2.66,406.31,169.59,13.65,591.13,66.23,82.28,386.15,150.38,313.13,64.38,7.97,537.09,686.9,769.78,48.7,931.09,672.02,30.89,852,49.1,0.38,36.98,990.29,233.1,279.85,381.59,166.46,2296.5,193,439.38,51.21,9.41,453.99,8.39,67.83,16.04,42.15,703.38,278.87,36.82,240.83,25.75,68.06,632.91,492.88,440.73,98.79,399.96,723.64,7.16,490.94,1606.21,145.6,1583.27,268.72,170.66,443.33,235.22,22.41,249.31
GAPDH,25443.38,50414.43,39261.63,27053.48,34716.98,44423.93,23127.56,40491.94,26592.49,23180.67,36080.61,23530.23,22466.58,48457.34,21287.56,27057.4,31685.49,21238.14,26147.73,21272.44,32363.2,20144.72,27760.42,50526.85,27331.8,26514.99,28730.58,33726.38,29776.75,18310.26,32020,32558.89,23012.19,35797.43,40097.53,18480.59,35713.76,28404.09,18612.27,30077.8,36365.72,33626.97,30307.47,19762.44,21465.53,21703.04,20985.99,17402.13,38162.2,19791.68,35357.36,19754.82,35358.39,19510.7,16967.76,24330.75,21908.48,25360.87,38180.33,23121.2,19029.5,23145.32,25151.36,18827.51,47431.96,32904.76
GCLC,236.12,256.67,191.77,598.86,214.11,100.39,957.08,118.59,405.94,429.4,170.97,745.46,1169.48,137.55,828.68,331.71,74.42,1013.61,749.6,496.6,374.63,480.31,492.68,199.07,235.6,82.52,89.63,337.31,386.86,1120.21,712.13,485.41,283.11,256.89,237.03,357.7,160.7,241.08,729.77,241.8,378.79,234.36,245.76,450.18,578.85,787.33,350,382.95,115.15,836.86,221.07,1082.53,310.39,1205.32,1239.26,151.78,1845.37,203.11,186.63,671.5,1273.1,132.15,440.03,708.72,165.1,205.97
GCLM,61.69,54.9,248.56,59.87,71,56.36,37.6,65.24,149.48,35.13,160.54,85.29,82.85,141.65,31.84,495.02,235.65,62.72,298.02,108.5,110.05,110.14,49.5,78.37,108.51,93.87,48.7,234.03,125.53,112.81,42.54,102.28,202.18,66.31,137.49,125.47,127.47,100.67,81.3,121.25,123.05,269.28,240.14,143.29,121.11,173.35,77.38,200.52,116,99.43,92.95,115.82,130.28,151.98,85.99,166.33,96.64,93.99,117.58,92.62,53.49,108.57,91.63,218.83,101.72,144.98
GFPT1,609.46,1175.4,1339.02,1157.15,468.19,239.12,453.09,426.74,1908.84,516.74,796.74,739.66,716.34,639.23,749.56,1257.74,286.59,889.47,996.67,734.11,563.29,747.99,583.13,619.24,1108.21,1198.42,836.62,690.99,460.76,1255.45,706.59,1360.31,497.75,1419.36,1163.6,744.92,383.54,393.51,830.8,404.79,360,635.31,848.15,977.66,836.37,1097.5,928.59,1087.21,835.58,914.56,785.55,791.09,736.45,511.31,1232.62,1010.09,518.68,1325.05,586.41,1118.67,820.31,619.55,717.11,871.9,546.61,919.66
GLDC,301.93,143.21,126.65,551.59,173.58,88.25,415.72,169.8,34.34,180.32,90.35,115.79,646.22,253.54,318.36,165.49,30.12,222.2,555.94,484.21,315.96,198.14,288.71,412.16,214.3,19.81,4.17,97.47,140.74,330.29,366.48,557.59,630.64,587.83,555.1,356.47,282.48,191.14,417.78,146.9,447.07,166.33,596,350.06,428.74,221.47,390.07,94.74,71.91,419.93,183.89,515.49,304.66,131.97,885.5,29.1,351.95,517.76,280.95,609.25,494.64,689.61,426.32,406.93,146.53,404.99
GLS,975.51,559.8,749.73,1545.09,1563.61,428.52,634.01,1080.23,2026.61,318.2,832.91,749.12,1374.56,1185.32,801.35,1642.74,358.79,1087.1,1251.7,2292.03,961.31,1556.73,869.25,862.07,2610.35,337.72,1892.1,1376.44,2794.57,1041.38,973.59,1339.39,836.34,2377.46,2275.2,1094.26,818.07,802.98,1146.03,1375.96,734.2,865.27,1094.16,3075.76,1425.65,2113.25,2192.76,961.2,784,1219.33,1785.63,1365.93,1064.88,742.92,1291.74,1553.41,976.22,1898.17,917.14,1178.81,1370.65,1506.39,1098.17,2033.64,1220.6,2021.49
GLUD1,1378.58,612.3,430.86,2266.63,573.01,376.52,4494.22,484.33,403.74,5987.33,882.94,9208.3,5225.46,759.07,4929.29,488.84,235.65,4882.26,2150.87,4391.83,2304.54,5280.52,6216.9,952.17,2999.09,188.15,364.59,1639.26,887.47,7335.16,4772.66,1323.32,1371.71,1117.29,1388.21,1189.71,615.49,865.73,10116.34,659.18,1176.69,906.4,1114.6,4524.68,3558.45,939.22,5037.94,732.17,311.63,9140.03,1125.94,4935.75,847.84,4085.44,3705.14,531.24,5358.04,2331.66,784.05,6742.67,5093.04,1006.69,2432.81,1712.06,729.7,765.85
GLUD2,51.41,22.03,14.42,124.26,19.01,12.53,270.8,14.88,12.77,392.77,167.01,505.28,188.75,35.93,304.1,22.55,11.52,278.03,122.76,209.74,94.33,281.03,366.46,27.46,139.09,7.84,14.02,24.83,44.56,429.96,256.58,64.28,41.14,36.4,66.75,67.41,17.3,25.62,593.4,28.21,51.79,57.43,34.23,293.1,165.19,74.21,252.68,27.59,10.7,462.71,37.68,521.29,34.93,208.16,256.07,22.83,294.09,78.33,25.27,430.93,261.48,11.95,126.19,63.16,39.21,31.56
GLUL,3238.94,399.33,1959.17,2062.62,1666.47,1613.51,9379.84,1794.93,1003.18,3457.34,2370.05,5415.68,7096.63,1727.29,2306.42,1548.9,3727.86,3946.46,3171.03,3053.47,10322.87,3887.86,2581.82,1944.96,3112.35,3305.19,1381.98,1356.1,3577.93,1865.5,2654.43,1240.93,2296.83,589.71,509.19,1676.81,1839.18,1800.49,3428.34,1282.69,1460.61,1287.69,1994.42,2953.55,722.69,2211.82,3570.44,1932.82,1577.62,3414.5,1280.69,4683.14,978.41,9140.16,5652.86,1825.41,5907.44,1069.54,2271.58,2670.66,2870.61,1797.24,6342.64,3293.36,971.17,1396.61
GOT1,51.04,49.39,47.1,68.53,31.86,32.64,91.26,43.57,57.24,58.79,51.47,69.18,93.65,25.66,140.41,63.65,21.26,51.73,92.18,216.79,69.79,31.79,93.04,41.19,205.01,30.53,38.47,82.68,117.39,46.21,22.16,71.17,32.75,167.77,72.37,56.09,37.33,18.83,93.66,62.49,44.91,49.15,33.21,177.41,144.31,60.3,118.24,37.71,22.69,72.61,109.28,87.92,32.07,74.78,60.07,34.48,128.25,150.44,40.03,57.14,60.41,45.16,109.46,36.19,25.36,35.31
GPI_1,438.03,286.23,1212.82,445.06,572.73,1015.13,280.2,657.53,306.21,200.05,765.24,297.33,469.47,941.27,356.37,1305.75,764.09,192.03,467.09,515.39,312.13,286.71,438.51,599.5,492.49,415.08,841.54,577.68,620.13,289.28,301.78,1058.56,542.68,536.99,949.29,453.89,875.89,483.2,683.15,626.07,673.01,940.03,465.71,890.58,504.14,676.88,703.55,896.81,667.14,432.19,754.4,430.02,753.63,330.84,286.74,530.34,301.84,634.43,540.88,355.75,459.08,596.98,296.56,529.15,751.23,887.03
GPI_2,563.35,309.98,1468.14,554.02,593.04,996.66,358.85,731.77,418.27,275.5,965.85,315.44,565.13,1023.48,510.4,1474.27,898.45,262.22,469.75,493.04,471,417.29,564.55,770.83,881.22,272.32,916.52,755.88,889.68,439.85,405.48,1647.78,730.34,633.15,1166.8,860.22,1322.86,752.16,840.12,994.88,939.9,1684.42,606.31,1269.75,855.31,1089.48,1059.07,1414.46,1260.29,613.56,1242.67,845.39,1179.7,519.73,477.9,718.61,456.35,1061.44,728.84,490.17,810.24,992.2,587.08,710.65,1706.08,1612.57
GPT,1.87,1.1,2.7,2.76,1.12,4.55,14.67,0.43,0,10.52,1.8,8.59,14.89,1.03,6.65,0,4.43,7.33,3.1,4.27,2.3,5.68,8.03,0,4.08,0.41,0,24.83,6.43,4.98,19.94,4.59,2.71,0.84,0.47,1.97,4.55,1.57,9.11,1.4,3.67,14.49,0.51,9.54,0.46,3.48,3.16,1.84,0.43,11.56,4.52,22.32,0.57,9.3,15.81,2.91,14.91,11.88,1,10.83,5.66,1.33,14.81,4.78,4.72,10.16
GSS,149.19,326.07,136.34,134.5,211.03,96.03,183.44,136.44,183.38,123.79,180.33,147.16,212.04,419.06,197.9,230.6,100.99,145.48,276.31,220.85,286.82,192.46,174.68,180.48,230.61,31.77,247.29,223.2,221.28,170.58,93.95,272.16,181.88,182.83,404.73,334.08,178.91,118.71,192.74,192.83,346.25,395.78,428.42,204.77,412.73,462.65,214.78,264.6,137.19,199.33,112.04,197.49,174.09,124.7,294.64,253.64,229.07,209.59,185.88,160.58,224.04,349.95,195.6,184.01,297.78,308.43
HIF1A,6150.52,1032.75,3159.37,2703.22,2048.01,5201.11,2932.71,2332.39,2585.77,2415.03,2173.52,5616.54,2590.88,7362.87,1293.14,2630.05,1918.41,6548.69,1826.7,2573.75,3782.74,10493.76,2066.6,3561.27,2612.39,613.34,2954.6,2531.27,1554.94,1497.84,3615.17,2576.5,2917.46,1700.72,1657.1,4780.98,2178.33,1798.92,2305.07,1169.6,3365.53,2317.49,2758.78,1804,3129.48,2697.37,4024.08,1359.78,2232.35,2822.29,1713.03,3418.96,3257.92,2454.7,3627.05,2528.8,2568.36,2163.12,2067.19,2491.74,2489.57,3159.53,2935.39,1764.97,1575.28,2685.42
