ROI,N13_02,N13_03,N13_04,N13_06,N13_08,N13_09,N13_10,N13_11,N13_13,N13_15,N13_16,N13_17,N13_18,N14_01,N14_02,N14_03,N14_04,N14_05,N14_06,N14_07,N14_08,N14_09,N14_10,N14_11,N14_12,N15_01,N15_02,N15_03,N15_04,N15_05,N15_06,N15_07,N15_09,N15_10,N15_12,N15_13,N15_14,N15_15,N15_16,N15_17,N15_18,N16_01,N16_02,N16_03,N16_04,N16_05,N16_06,N16_07,N16_09,N16_10,N16_11,N16_12,N16_13,N16_14,N16_15,N16_16,N16_17,N16_18,N16_19,N17_01,N17_02,N17_03,N17_04,N17_05,N17_06,N17_07
,A,O,G,O,G,G,O,G,G,O,G,O,O,G,O,G,G,O,O,O,A,A,G,G,O,G,G,G,G,A,A,G,G,O,G,G,G,G,A,G,G,G,G,A,O,G,A,G,G,A,G,A,G,O,O,G,O,O,G,O,A,G,O,G,G,G
SLC2A3 ,4600.13,1904.11,1397.38,1725.08,1535.66,4605.21,234.57,4082.05,3067.21,264.66,1732.23,336.43,621.24,2011.88,519.82,7056.87,8608.28,3165.61,1281.4,2414.41,1023.05,2217.86,630.29,4779.45,2324.92,23844.39,13918.93,1687.6,2837.2,701.8,1462.15,4332.68,2057.84,1272.72,4209.38,1237.93,6881.67,1699.82,1319.91,1871.69,1601.99,3464.46,4322.74,3777.63,1034.5,2026,1999.11,5391.29,15210.56,1186.03,2195.61,1410.79,1746.36,639.65,1345.17,8822.59,715.84,2733.55,6776.22,1274.14,952.47,3529.74,925.88,2428.97,8056.52,4958.89
SLC5A1 ,0,2.02,0.45,0,0.28,0,0.46,0.43,0,0.38,0.36,1.29,0.24,0,0.95,0.55,0,0,0,1.28,0,2.27,0,0,1.36,0,0,0,0,0,0,0.51,1.08,1.67,0.47,0,0,1.05,0.43,0,0,0.78,0.51,1,0,1.16,0.39,3.07,0,0.46,0,1.34,0,0.2,0,0.9,0,0,0.5,1.2,0,1.33,0.82,1.02,0,0.53
SLC7A1 ,610.4,834.09,558.41,1624.85,384.61,432.51,1729.36,918.72,891.35,982.77,327.91,1710.06,1498.72,1492.49,1058.18,945.12,163.01,1442.07,1670.27,1693.55,1232.79,1752.32,780.87,723.92,1544.28,430.14,132.08,1672.02,1123.74,2274.62,2177.16,1888.57,1225.56,1259.75,1206.46,1439.16,876.8,1854.61,2057.26,648.22,1600.85,546.07,447.83,948.3,2202.86,1156.35,1230.61,778.77,579.38,2241.19,1241,1647.33,1083.49,1639.43,2611.62,382.14,1479.4,3469.8,1423.99,1761.6,2377.55,1144.48,2213.07,1333.8,1076.42,1028.27
SLC9A1 ,392.41,149.63,220.62,279.64,135.84,144.04,82.55,318.56,781.06,117.02,318.37,251.78,95.34,178.09,132.09,587.04,208.19,109.27,317.52,193.08,251.54,195.59,180.9,317.2,382.16,196.4,380.32,237.2,411.5,143.17,71.79,264,434.95,177.81,395.13,332.11,296.14,456.27,133.99,142,468.38,442.34,725.78,363.86,115.31,895.45,364.01,315.19,194.34,95.5,358.48,37.94,406.88,74.37,138.47,337.14,72.18,259.28,218.15,85.4,70.17,399.76,207.12,249.55,344.07,331.7
SOD1,426.06,663.16,293.4,935.01,280.63,162.45,1023.58,224.84,466.04,1195.96,288.86,708.3,1341.18,334.37,1415.5,525.76,414.16,1018.35,1498.54,933.39,472.41,512.1,757.8,602.36,784.71,356.49,342.42,376.4,340.59,1030.95,523.8,496.88,418.98,354.58,616.7,901.14,335.74,350.11,757.08,363.75,304.31,779.14,510.68,835.38,459.83,654.56,894.24,566.29,268.4,573.71,378.83,684.42,482.19,816.48,842.51,299.98,588.18,634.7,208.4,1216.4,446.18,592.33,648.8,478.62,394.48,475.35
SOD2,32944.26,1370.02,28260.16,5372.77,16408.98,23429.31,4885.63,21167.45,12868.73,4889.6,15148.78,6612.5,3483.48,9154.06,4065.69,20714.87,46301.93,2624.43,14776.04,2260.84,33509.34,8423.22,2865.61,11194.66,4860.06,29153.41,7744.26,12272.54,10375.21,2939.73,3812.14,4995.11,22200.48,4732.32,1498.3,16035.73,37752.79,35718.21,2258.02,11719.09,21300.91,17684.45,17682.34,15794.59,2031.64,19986.35,11533.31,46628.99,25906.34,2084.87,23865.33,6138.55,10198.12,10717.14,5383.2,27693.68,746.26,9475.99,24592.87,3913.23,4258.88,23188.81,3523.29,25067.72,12132.55,9519.21
TALDO1,1012.34,2569.29,868.04,1894.44,1291.08,305.74,1441.82,485.39,1419.46,868.94,932.97,1443.88,1908.88,916.38,1254.42,1073.7,720.68,1026.76,2150.43,1041.25,1218.99,1249.02,979.39,676.73,1781.24,345.97,1109.68,2288.26,808,918.59,749.58,1278.17,1248.56,1536.93,1556.38,1647.04,663.97,925.87,909.5,1384.82,1026.82,1826.26,1357.29,1753.06,2051.59,2832.46,943.59,1580.53,795.34,1572.44,694.86,2073.78,737.31,1811.82,2158.27,1404.76,3709.23,1901.68,1334.68,1659.65,2266.79,1006.03,1658.63,1819.94,852.65,1151.58
TP53,62.44,116.03,46.42,85.66,11.18,36.82,69.71,62.69,98.18,60.3,25.56,58.43,51.87,109.58,120.45,66.92,11.52,30.6,46.53,59.59,52.15,64.72,61.68,24.03,64.11,46.83,18.95,80.83,17.99,180.55,18.17,27.55,94.19,50.21,175.43,77.99,49.17,73.21,84.55,96.3,72.18,82.26,76.64,50.94,86.77,149.58,122.19,23.3,32.75,154.24,38.69,45.08,243.67,56.99,86.62,46.12,64.72,127.21,144.1,70.37,127.12,139.45,161.31,53.94,126.78,237.81
TP53I3,53,45.53,43.49,72.08,36.2,54.09,15.36,43.03,136.6,39.16,82.7,25.78,17.89,63.51,19.96,38.74,14.62,37.61,65.92,42.08,22.05,19.59,8.29,70.36,56.18,8.87,17.24,144.62,41.24,70,42.98,125.75,110.02,305.84,205.88,139,100.84,52.95,45.2,54.21,115.03,225.7,95.42,90.34,248.36,177.12,65.04,40.78,22.05,43.13,43.84,53,109.24,52.34,119.18,99.96,24.16,74.81,131.34,83.6,165.35,138.45,167.34,80.57,149.63,104.06
TUBB,12498.42,6989.41,3778.51,5751.76,8085.34,3522.56,2995.48,7601.24,10431.89,2878.61,4170.63,5933.1,2954.63,9279.29,5292.67,4734.94,3352.57,4872.72,3324.8,2997.99,8949.25,4275.41,5329.12,5118.74,1991.24,2147.11,9531.1,4792.85,1451,6681.89,4831.65,4993.39,3858.28,9685.55,5489.79,7329.59,2555.62,4377.35,4095.18,6797.02,4879.19,8316.14,5586.08,2920.3,4557.68,4085.55,2664.7,3218.94,3163.38,5185.29,3510.72,4392.53,8058.19,1867.65,3210.38,5505.17,2728.01,3746.78,5337.47,3523.65,3661.82,4964.99,2359.29,3740.32,3686.11,5054.05
TXN,1157.54,4405.17,3131.2,1797.62,3220.02,1409.43,742.16,1299.9,1200.13,760.74,3034.93,1024.74,1268.74,1586.75,1001.4,2600.59,1049.05,1025.17,2607.99,1560.63,1385.53,758.87,801.69,1141.71,2123,1574.79,2694.61,3424.15,1710.46,2378.6,838.28,2570.72,2632.64,2787.82,2887.53,1991.87,1499.26,1532.65,1566.78,2037.16,2342.3,2711.37,4838.1,2528.63,4562.71,3746.27,1639.11,3897.43,2790.61,1943.19,1501.42,781.04,2235.32,1738.39,1114.91,2853.93,1453.55,2490.2,1873.8,1048.5,1243.42,2078.46,1164.1,1765.54,1142.47,2580.47
VHL1,174.33,177.06,138.45,158.28,241.78,23.84,156.78,85.54,162.49,71.85,56.8,90.23,155.04,208.02,103.5,194.93,88.59,193.97,205.38,255.51,150.5,127.74,97.84,112.26,197.65,53.25,117.6,373.1,251.16,334.14,211.6,405.73,370.3,327.12,309.9,308.44,110.11,127.47,256.78,149.23,218.55,326.26,213.47,199.81,237.51,386.09,236.39,196.8,115.98,388.77,78.19,243.94,345.03,118.48,413.35,118.09,398.37,311.61,128.84,398.64,332.55,360.04,282.05,399,221.86,459.26
VHL2,110.77,105.11,50.14,160,183.78,29.89,94.01,73.32,126.03,68.09,78.29,86.47,117.07,128.31,125.92,126.39,59.8,149.79,115.78,134.56,38.35,107.16,92,85.09,86.65,39.71,49.27,66.7,93.18,99.67,87.52,210.44,133.98,276.13,156.34,134.08,52.35,104.59,149.6,80.44,108.27,118.99,99.63,123.59,103.82,171.76,106.1,108.08,23.01,162.45,48.36,188.01,213.32,111.66,249.75,85.63,166.28,114.79,75.68,173.66,159.69,162.69,114.54,159.6,64.13,192.6
